Temperature,Vibration,Power_Usage,Timestamp,Temperature_lag1,Temperature_lag2,Vibration_lag1,Vibration_lag2,Power_Usage_lag1,Power_Usage_lag2
44.02,6.36,65.96,2025-01-01 00:10:00,85.50500493,69.52288644,44.28136896,54.31196736,13.80827318,10.57744733
76.11676289,51.30336883,9.392547942,2025-01-01 00:15:00,44.02,85.50500493,6.36,44.28136896,65.96,13.80827318
61.05392698,54.47519157,8.900919451,2025-01-01 00:20:00,76.11676289,44.02,51.30336883,6.36,9.392547942,65.96
76.45484181,44.03037497,9.099974284,2025-01-01 00:25:00,61.05392698,76.11676289,54.47519157,51.30336883,8.900919451,9.392547942
57.04921228,44.66233543,10.7958541,2025-01-01 00:30:00,76.45484181,61.05392698,44.03037497,54.47519157,9.099974284,8.900919451
26.5,2.95,49.09,2025-01-01 00:35:00,57.04921228,76.45484181,44.66233543,44.03037497,10.7958541,9.099974284
56.01432426,45.90900558,9.337383234,2025-01-01 00:40:00,26.5,57.04921228,2.95,44.66233543,49.09,10.7958541
31.06,9.87,90.09,2025-01-01 00:45:00,56.01432426,26.5,45.90900558,2.95,9.337383234,49.09
72.32049937,42.57551016,12.19430542,2025-01-01 00:50:00,31.06,56.01432426,9.87,45.90900558,90.09,9.337383234
61.84189715,51.40595712,9.848097953,2025-01-01 00:55:00,72.32049937,31.06,42.57551016,9.87,12.19430542,90.09
62.46263836,54.26707779,10.93271675,2025-01-01 01:00:00,61.84189715,72.32049937,51.40595712,42.57551016,9.848097953,12.19430542
65.09,3.47,7.38,2025-01-01 01:05:00,62.46263836,61.84189715,54.26707779,51.40595712,10.93271675,9.848097953
83.2915253,51.42777037,8.782820554,2025-01-01 01:10:00,65.09,62.46263836,3.47,54.26707779,7.38,10.93271675
79.54001763,46.40796367,11.76466612,2025-01-01 01:15:00,83.2915253,65.09,51.42777037,3.47,8.782820554,7.38
64.37533224,58.4752552,8.506843307,2025-01-01 01:20:00,79.54001763,83.2915253,46.40796367,51.42777037,11.76466612,8.782820554
65.2,7.14,76.63,2025-01-01 01:25:00,64.37533224,79.54001763,58.4752552,46.40796367,8.506843307,11.76466612
49.17,3.72,92.99,2025-01-01 01:30:00,65.2,64.37533224,7.14,58.4752552,76.63,8.506843307
80.6667469,47.81807055,11.53641443,2025-01-01 01:35:00,49.17,65.2,3.72,7.14,92.99,76.63
43.47,3.09,54.32,2025-01-01 01:40:00,80.6667469,49.17,47.81807055,3.72,11.53641443,92.99
27.35,8.81,35.34,2025-01-01 01:45:00,43.47,80.6667469,3.09,47.81807055,54.32,11.53641443
